Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL
539,1,,,,,,32.9910714286,,,,,
540,1,1,,,,,3007.2646428572,4842.6385714286,,,,
541,1,,,,,,4.9021428571,,,,,
542,1,,,1,,,1525.1414285714,,,0,,
543,1,,3,,,,2.8978571429,,446183.423214286,,,
544,1,,64,,,,4808.2710714286,,32990.4460714286,,,
545,1,1,,,,,3852.0539285714,37045.9657142857,,,,
546,1,,,,,,1023.3364285714,,,,,
547,1,1,1,,,,4446.7946428572,1253.6607142857,33004.4614285714,,,
548,1,,,,,,2663.1378571429,,,,,
549,1,,,,,,192.7760714286,,,,,
550,1,,,1,,,57.6003571429,,,192.0142857143,,
551,1,,,,1,1,865.4814285714,,,,0.9285714286,625.6260714286
552,1,,,,,,730.9875,,,,,
553,1,,,,,,3274.0575,,,,,
554,1,,,,,,2032.2328571429,,,,,
555,1,,,,,,16.0821428571,,,,,
556,1,,,,,,227.2621428571,,,,,
557,1,,2,1,,,2815.4867857143,,0,0,,
558,1,,,,,,393.4128571429,,,,,
559,1,1,4,1,,,464.6071428571,728.0439285714,0,881.6967857143,,
560,1,,,,,,6586.2228571429,,,,,
561,1,,,1,1,,269.3685714286,,,0,619.2857142857,
562,2,,,1,,,2006.015,,,0,,
563,1,1,4,1,,,56.6278571429,0.4475,263.9532142857,255.4853571429,,
564,1,,,,,,1391.6125,,,,,
565,1,,,1,,,7.0185714286,,,0,,
566,2,1,,,1,3,577.8582142857,22018.5864285714,,,474.3739285714,2405.2828571429
567,1,,,,,,6808.1978571429,,,,,
568,1,,,,1,,809.9760714286,,,,325.6457142857,
569,1,,,1,,,1.1492857143,,,139.6621428571,,
570,1,,,,,,575.1746428571,,,,,
571,1,,,1,1,,0.2978571429,,,0,1223.2142857143,
572,1,,,1,,,2739.5639285714,,,0,,
573,1,,,,,,1243.5057142857,,,,,
574,1,,,1,,1,3364.9467857143,,,0,,533.2189285714
575,1,,,,,,765.9475,,,,,
576,1,,,,,1,2.0210714286,,,,,883.7446428571
577,1,,,,,,317.1153571429,,,,,
578,1,,,,,,4781.0110714286,,,,,
579,1,,4,,,,10.9635714286,,0,,,
580,1,1,7,,,,4.0253571429,16272.2021428571,2510.7528571429,,,
581,1,1,,1,1,,0,14811.9810714286,,0,-1.4285714286,
582,1,,,,,,445.6714285714,,,,,
583,1,1,5,,,,271.1539285714,9.9492857143,13062.6767857143,,,
584,1,1,,1,,,2538.3867857143,5734.5471428572,,0,,
585,1,,2,,,,47.5732142857,,2648.9053571429,,,
586,1,,,,,,2036.1246428572,,,,,
587,1,1,1,,,,0,96668.1139285714,381.1310714286,,,
588,1,,,1,,,193.1764285714,,,710.7621428571,,
589,1,1,,1,,,168.1878571429,2.1517857143,,0,,
590,1,,,,,,183.6292857143,,,,,
591,1,,,1,,,0,,,0,,
592,1,1,,,,,402.0853571429,36166.5603571429,,,,
593,1,,,,,,1.4807142857,,,,,
594,2,1,,,,,3.8310714286,223.8189285714,,,,
595,1,,,,,,126.9225,,,,,
596,1,,,,,,0,,,,,
597,1,,,1,,,4552.8896428572,,,482.6128571429,,
598,2,,,1,,,562.2017857143,,,0,,
599,1,1,,,,,16.6710714286,23252.4435714286,,,,
600,1,1,4,,,,1189.3225,8771.7335714286,28004.9075,,,
601,1,1,2,,,,865.6828571429,92884.3296428571,0,,,
602,2,,,1,1,,84.3064285714,,,0,1053.8028571429,
603,1,1,,,,,1385.9882142857,7463.2467857143,,,,
604,1,,,,1,,5645.1139285714,,,,1044.1435714286,
605,1,,,,,,0,,,,,
606,1,1,,,,,80.6242857143,313.4735714286,,,,
607,1,2,3,1,1,,364.1085714286,1074.0725,0,0,490.7760714286,
608,1,1,,,,,347.3657142857,29191.295,,,,
609,1,1,,,,,130.8475,24933.4532142857,,,,
610,1,1,1,,1,,1083.5221428572,0.7996428571,14285.7142857143,,305.6771428571,
611,1,,,1,,1,943.8375,,,0,,2515.4192857143
612,1,1,,1,1,,28.5357142857,1085.2085714286,,0,110.0210714286,
613,1,,,1,1,,30.4675,,,218.2342857143,276.15,
614,1,2,17,1,1,,0,7143.0425,0,0,0,
615,1,,,,,,2509.5314285714,,,,,
616,1,,,,,,1083.7110714286,,,,,
617,1,,,1,,,5577.3571428572,,,0,,
618,1,,,1,,1,0,,,0,,887.375
619,1,1,2,,,,3764.5392857143,7812.5128571429,169.6746428571,,,
620,1,,,,,,2.1567857143,,,,,
621,1,1,,,,,1249.7096428572,0.0014285714,,,,
622,1,,,,,,0,,,,,
623,1,,,,,,1607.2757142857,,,,,
624,1,1,,,,,272.1257142857,12752.7275,,,,
625,1,,,,,,3943.0439285714,,,,,
626,1,,,,,,13.4646428571,,,,,
627,1,,2,,,,1604.2664285714,,4107.8603571429,,,
628,1,,,1,,,488.4596428571,,,0,,
629,1,,2,,,,61.7667857143,,34387.5835714286,,,
630,1,,,,,,389.45,,,,,
631,1,,,,,,339.8192857143,,,,,
632,2,,,1,,,592.0878571429,,,0,,
633,1,1,2,,,,36062.1135714286,16809.7660714286,0,,,
634,1,2,,,,,41.8617857143,47652.5510714286,,,,
635,1,,,,,,0,,,,,
636,1,1,,,1,,2623.8264285714,2457.8371428572,,,-7.7382142857,
637,1,,3,,,,0,,0,,,
638,1,,,1,,,89.25,,,0,,
639,1,,,,,,736.9435714286,,,,,
640,1,1,,,,,16765.39,3584.685,,,,
641,1,,,,,,1.375,,,,,
642,1,1,4,,,,2238.0917857143,9665.4335714286,194.2857142857,,,
643,1,,4,,,,2204.2185714286,,181931.547142857,,,
644,1,1,,,,,135.3635714286,0.17,,,,
645,1,,,,,,14.2978571429,,,,,
646,1,,,1,,,484.3903571429,,,0,,
647,1,,,,,,362.4582142857,,,,,
648,1,1,,,1,,2164.6328571429,14.3282142857,,,482.975,
649,1,,,1,,,15377.3539285714,,,0,,
650,1,,,,,,2589.6378571429,,,,,
651,1,,,,,1,2.1428571429,,,,,6236.6339285714
652,1,,,,,,5885.1864285714,,,,,
653,1,1,,,,,43.1442857143,6007.7925,,,,
654,1,,,,,,1657.3832142857,,,,,
655,2,,,,,,327.2014285714,,,,,
656,1,1,,,,,26.7607142857,6120.5889285714,,,,
657,1,1,,1,,,757.75,0,,274.9439285714,,
658,1,,,,,,1107.6778571429,,,,,
659,2,,,,,,1058.2935714286,,,,,
660,1,,,1,,,611.3221428571,,,0,,
661,1,1,,,,,378.8889285714,882.2335714286,,,,
662,1,,,,,,0,,,,,
663,1,,,,,,9.275,,,,,
664,2,,,,,,1407.6421428572,,,,,
665,1,,,,,,370.6532142857,,,,,
666,1,,1,,,,13806.5692857143,,25462.5617857143,,,
667,1,,,,,,60.0442857143,,,,,
668,1,1,1,1,,,586.9492857143,43701.9692857143,0,0,,
669,1,,,1,,,174.6578571429,,,157.4832142857,,
670,1,,,,,,13.9292857143,,,,,
671,1,1,,,,,858.955,11615.655,,,,
672,1,,,,,,47.9646428571,,,,,
673,1,2,1,1,1,,2588.8382142857,16144.0021428571,733.0685714286,8.445,1.1785714286,
674,1,,,1,,,16362.9832142857,,,745.5571428571,,
675,1,,,,,,27.865,,,,,
676,1,,,1,1,,1127.0082142857,,,0,417.1964285714,
677,1,,,,,,71.3907142857,,,,,
678,1,1,3,,,,2730.1214285714,0,761235.504285714,,,
679,1,2,,,,,0,28.6582142857,,,,
680,1,,,,,,0.5064285714,,,,,
681,1,,5,1,,1,4976.04,,46562.3107142857,0,,9916.2696428572
682,1,1,11,,,,684.2814285714,4557.6075,1146.4175,,,
683,1,,,,,,2052.3625,,,,,
684,1,2,3,,,,20.9664285714,12881.3710714286,20469.94,,,
685,1,,1,1,,,379.3821428571,,169.6746428571,0,,
686,1,,,,,,1146.8796428572,,,,,
687,2,,,,,,338.5896428571,,,,,
688,1,,,,,,585.0828571429,,,,,
689,1,,,,,,396.3082142857,,,,,
690,1,1,,,,,86.0242857143,4203.4385714286,,,,
691,1,,,,,,225.8607142857,,,,,
692,1,,,1,,,641.1296428571,,,0,,
693,1,,,1,,,2889.7817857143,,,0,,
694,1,1,,,,1,0.0021428571,114458.456785714,,,,117.6539285714
695,1,,,,,,0.015,,,,,
696,1,,,,,1,2644.6042857143,,,,,3301.6385714286
697,1,,,1,1,,2474.8225,,,0,642.2321428571,
698,1,1,,,,,64.7428571429,1841.0621428572,,,,
699,1,,4,1,,,1823.0571428572,,18491.4442857143,0,,
700,1,,,,,,345.3353571429,,,,,
701,3,1,,,,,0,34394.5557142857,,,,
702,1,1,1,,1,,238.2278571429,391.9985714286,4718.1260714286,,0,
703,1,,6,,,,198.8796428571,,125.1257142857,,,
704,1,,,,,,403.4421428571,,,,,
705,3,,,,,,191.1260714286,,,,,
706,1,,,,,,1405.1271428572,,,,,
707,1,,,,,,317.8646428571,,,,,
708,1,,,,,,0,,,,,
709,1,,,,,,683.5714285714,,,,,
710,1,,,,,,1026.1178571429,,,,,
711,1,,,,,,111.1267857143,,,,,
712,1,,,1,,1,3551.8782142857,,,0,,1985.3728571429
713,1,,,1,,,113.4092857143,,,350.1135714286,,
714,1,1,,,,,224.4425,5495.8610714286,,,,
715,1,1,,,1,,4661.0196428572,20.5446428571,,,0.7142857143,
716,1,,,,,,5070.6596428572,,,,,
717,2,,,,,,3136.7346428572,,,,,
718,1,,,1,,1,273.4285714286,,,215.49,,1057.9571428572
719,1,,,,,,79.3989285714,,,,,
720,1,,,,,,0,,,,,
721,1,1,,1,,,218.6946428571,27896.8867857143,,526.4889285714,,
722,1,1,6,,,,4933.7489285714,465.5371428571,1942.8571428572,,,
723,1,,,,,,444.29,,,,,
724,1,,,,,,102.2325,,,,,
725,1,,20,,,,374.2242857143,,0,,,
726,1,,,1,,,2963.085,,,260.87,,
727,1,1,1,,,,48.9335714286,35768.3885714286,14484.0839285714,,,
728,1,,,,,,1194.7971428572,,,,,
729,1,1,1,1,,,2082.3089285714,0,0,0,,
730,1,,,1,,,331.7296428571,,,0,,
731,1,,,,,,957.0071428571,,,,,
732,3,1,6,,,,301.1560714286,347.4171428571,49993.3992857143,,,
733,1,1,,,,,5.7067857143,10778.9839285714,,,,
734,1,1,,,,,69.5110714286,57901.6792857143,,,,
735,1,,,,,,188.9946428571,,,,,
736,1,,,,,,285.7142857143,,,,,
737,3,,,,,,3175.2646428572,,,,,
738,1,,,,,,1953.7857142857,,,,,
739,1,1,8,1,,1,5519.3089285714,0,9824.2367857143,0,,3868.6796428572
740,1,,2,,,,314.6092857143,,24739.0642857143,,,
741,1,,,,,,58.5839285714,,,,,
742,1,,,,,,267.5435714286,,,,,
743,1,,,,,,1928.7057142857,,,,,
744,2,,,,,1,7881.3110714286,,,,,9055.5846428572
745,1,,,1,,,3688.1567857143,,,0,,
746,1,,1,,,,16436.3271428571,,49030.4107142857,,,
747,1,,,1,,,43.13,,,1459.4571428572,,
748,1,,,1,,,1155.4671428572,,,0,,
749,1,,,,,,0.1917857143,,,,,
750,1,,,,,1,710.4925,,,,,2893.0267857143
751,1,,,,,,38.6557142857,,,,,
752,1,1,,,,,60.1139285714,14680.9542857143,,,,
753,1,,,,,,16357.5767857143,,,,,
754,1,,,,,,13.0425,,,,,
755,1,,11,,,,590.4103571429,,2165.8228571429,,,
756,1,,3,1,1,1,1782.36,,2322.8010714286,250.8803571429,966.6189285714,3141.9
757,1,,,,,,1202.235,,,,,
758,1,1,,,,,8826.6442857143,9129.4875,,,,
759,1,,,1,,,0.7842857143,,,0,,
760,1,5,,,,,21873.9017857143,3890.05,,,,
761,1,1,,,,,128.3882142857,0,,,,
762,1,,1,,,,1077.3460714286,,0,,,
763,1,,,1,1,1,5292.1792857143,,,0,1529.0589285714,2906.9817857143
764,1,2,,,,,13436.1642857143,8.7107142857,,,,
765,2,,,,,,4.7142857143,,,,,
766,1,,,,,,497.9189285714,,,,,
767,1,2,3,,,,0,8036.4307142857,424.1864285714,,,
768,1,,,,1,,1107.2435714286,,,,992.4075,
769,1,1,,,,,265.3528571429,6097.2464285714,,,,
770,1,,,,,,1.4082142857,,,,,
771,1,,2,,,,17.6257142857,,0,,,
772,1,1,1,1,,,297.1175,9.5935714286,0,0,,
773,1,,,,,,1693.1764285714,,,,,
774,1,,,1,,2,83.0564285714,,,0,,337.7471428571
775,2,2,1,1,,1,116.1735714286,3774.2539285714,579084.107857143,0,,277.0864285714
776,2,1,1,,,,0,10977.9267857143,11162.4396428571,,,
777,1,,,,,,484.5646428571,,,,,
778,1,,,1,,,3821.465,,,0,,
779,1,,,1,,,567.8696428571,,,0,,
780,1,,,1,1,,184.8096428571,,,0,641.7617857143,
781,1,1,,,,,347.4175,3836.2682142857,,,,
782,1,2,2,,,,323.6771428571,37651.5,69073.4921428571,,,
783,1,,,,,,4765.4735714286,,,,,
784,1,,,,,,870.1514285714,,,,,
785,1,,,1,,,6478.5075,,,0,,
786,1,2,,,,,1016.5725,4112.3960714286,,,,
787,1,1,1,,,,1663.0557142857,6667.5192857143,14696.5014285714,,,
788,1,1,2,,,,36.9917857143,7139.7625,0,,,
789,1,,6,,,,16.4292857143,,2503.2603571429,,,
790,1,,,1,,,4.0271428571,,,0,,
791,1,1,7,1,1,,910.305,3680.0942857143,8823.2571428572,0,360.0260714286,
792,1,,,,,,9.3025,,,,,
793,1,1,,,,,20.6492857143,4004.6742857143,,,,
794,1,1,1,,1,1,283.2157142857,16218.1967857143,0,,547.7832142857,4239.8457142857
795,1,,1,,,,528.5796428571,,12768.2135714286,,,
796,3,,,,1,1,247.0035714286,,,,1109.5057142857,4632.9817857143
797,1,1,4,,,,1409.805,26478.2889285714,3020.6407142857,,,
798,1,,,,,,134.4014285714,,,,,
799,1,,,,,,882.1239285714,,,,,
800,1,,1,1,,,660.9817857143,,0,0,,
801,1,,,,,,28.5714285714,,,,,
802,1,1,3,,,,7.0935714286,2645.5457142857,11587.9103571429,,,
803,1,,,,,,0,,,,,
804,2,1,,,,,0,12053.1764285714,,,,
805,1,,,1,,,0.6175,,,354.96,,
806,1,,,,,,0,,,,,
807,1,,,,,,256.4892857143,,,,,
808,1,1,18,,,,608.5792857143,55.5303571429,0,,,
809,1,,,,,1,16.6239285714,,,,,3295.8071428572
810,1,,,1,,1,542.1714285714,,,0,,930.3571428571
811,1,,,,,,1227.8682142857,,,,,
812,1,,,,,,6302.0678571429,,,,,
813,1,1,,1,,,20.4132142857,29215.9803571429,,306.9214285714,,
814,1,1,1,,,,2498.9321428572,3639.5946428572,308.8821428571,,,
815,1,,,,,,4523.6467857143,,,,,
816,1,,,,,,382.7135714286,,,,,
817,1,,3,,,,57.5575,,6083.6485714286,,,
818,1,,,,,,1381.6385714286,,,,,
819,1,,,,1,2,325.1242857143,,,,2.25,3816.9796428572
820,1,,,,,,176.4846428571,,,,,
821,3,1,,,,,1054.2371428572,8.1589285714,,,,
822,1,1,1,1,,,300.7753571429,65263.0442857143,0,134.3346428571,,
823,1,1,,,,,13177.1532142857,725.6314285714,,,,
824,1,1,1,,,,337.6821428571,1716.2910714286,526.7785714286,,,
825,1,,,,,,28.5714285714,,,,,
826,1,,1,1,1,,0,,62103.2685714286,0,0,
827,1,,,1,1,,49.1935714286,,,0,0.4642857143,
828,1,,,,,,0,,,,,
829,1,,,,1,5,183.6614285714,,,,2.3446428571,1506.5014285714
830,1,,,,,,21.3625,,,,,
831,1,,1,,,,1440.0525,,0,,,
832,1,,,,,,458.8110714286,,,,,
833,1,,,,,,3017.6414285714,,,,,
834,1,,,1,,1,4430.3632142857,,,0,,2015.4878571429
835,1,,,,,,871.5025,,,,,
836,2,,,,,,920.6767857143,,,,,
837,1,,,,,,686.4396428571,,,,,
838,1,,,1,,,54.4821428571,,,0,,
839,1,,,,,,870.7567857143,,,,,
840,1,,,,1,,14.7121428571,,,,0,
841,1,1,2,,,,1029.6585714286,0,0,,,
842,1,,,,,,22.1357142857,,,,,
843,1,,,,,,80.9285714286,,,,,
844,1,,,,,,21.3307142857,,,,,
845,1,,,,,,459.5907142857,,,,,
846,1,1,2,1,1,,224.0717857143,5.0003571429,12033.3957142857,558.7092857143,0,
847,1,,,,,,240.9489285714,,,,,
848,1,,,,1,,49.7567857143,,,,0,
849,1,,,,,,146.8539285714,,,,,
850,1,,,,,,43.5232142857,,,,,
851,1,1,,1,,,732.9371428571,103328.818928571,,0,,
852,1,,,,,,357.1457142857,,,,,
853,1,1,,1,,,3061.9689285714,19069.4007142857,,0,,
854,1,1,4,1,,,1860.2396428572,851.0614285714,342.5960714286,0,,
855,1,,1,,,,49.0575,,1171.0714285714,,,
856,1,,1,,,,660.1114285714,,14777.4171428571,,,
857,1,,,,,,983.3739285714,,,,,
858,1,,,,,,660.2478571429,,,,,
859,1,,,,,,359.0332142857,,,,,
860,1,,,,,,169.9696428571,,,,,
861,1,,,,,,736.4207142857,,,,,
862,1,,,,,,3.5835714286,,,,,
863,1,,,1,1,2,21.9367857143,,,0,1.1785714286,63.8032142857
864,1,,,1,,,23.4960714286,,,0,,
865,1,,,,,,591.2628571429,,,,,
866,1,,,,,,1751.3507142857,,,,,
867,1,,,1,,,1097.7342857143,,,0,,
868,1,,2,,,,0,,848.3725,,,
869,1,1,3,,,,352.8278571429,5469.8510714286,833.2367857143,,,
870,1,,,1,,,122.1064285714,,,182.9657142857,,
871,1,,,,1,2,2853.2082142857,,,,122.1171428571,8660.0660714286
872,1,,,,,,13775.455,,,,,
873,1,,,,,,107.2625,,,,,
874,1,1,2,1,,,3612.0592857143,1628.4907142857,1218.6610714286,0,,
875,1,,,,,,50.3410714286,,,,,
876,1,1,,1,,,5948.0057142857,7155.0103571429,,0,,
877,1,,,,,,2163.8246428572,,,,,
878,1,,22,,,,1519.9492857143,,617.8335714286,,,
879,1,,,,,,3871.8867857143,,,,,
880,1,,,,,,70.5485714286,,,,,
881,2,,,,,,3024.1453571429,,,,,
882,1,1,1,,,,51.9717857143,19147.4546428571,11207.1732142857,,,
883,1,,,,,,236.2178571429,,,,,
884,1,,,1,,,2250.3082142857,,,0,,
885,1,,,,,,3641.4321428572,,,,,
886,1,1,,,,,168.9046428571,115074.533571429,,,,
887,1,,,,,,402.8014285714,,,,,
888,1,,,,,,137.5217857143,,,,,
889,1,,,,,,2560.4264285714,,,,,
890,1,1,,,,,1024.4442857143,16727.6353571429,,,,
891,1,,,1,,,1131.6232142857,,,0,,
892,1,,,1,,,0,,,641.1453571429,,
893,1,,,,,,2.4689285714,,,,,
894,1,,,1,1,2,354.9828571429,,,0,0.7142857143,2182.3967857143
895,1,1,,,,,997.9667857143,26797.1192857143,,,,
896,1,,,,,,1743.7385714286,,,,,
897,1,1,3,,,,0.7553571429,7567.1917857143,6511.8589285714,,,
898,1,1,2,,,,2741.8989285714,1750.5525,563.3707142857,,,
899,1,,,,,,1068.9364285714,,,,,
900,1,,,,,,7.1457142857,,,,,
901,1,,,1,1,1,153.9807142857,,,803.7907142857,983.7857142857,9501.4746428572
902,1,,,,,,13482.2360714286,,,,,
903,1,,,,,,414.7292857143,,,,,
904,1,,,,,,3758.3442857143,,,,,
905,1,,,,,,4899.0482142857,,,,,
906,1,,,,,,50.73,,,,,
907,1,,,,,,778.5221428571,,,,,
908,1,,,,,,54172.8692857143,,,,,
909,1,,,1,,1,4.7107142857,,,0,,4291.9964285714
910,1,1,,,1,,3007.7532142857,1149.5053571429,,,928.4642857143,
911,1,,,1,,,3.2571428571,,,0,,
912,1,,,,,,3.4967857143,,,,,
913,1,,1,,,,2102.5003571429,,7975.6835714286,,,
914,1,,,,,2,2.6075,,,,,12567.0257142857
915,1,,1,1,,,33.4321428571,,13680.2771428571,175.5996428571,,
916,1,1,5,1,1,,7949.0067857143,554.9710714286,2545.7432142857,470.0514285714,1188.7867857143,
917,1,1,1,,,,9.055,191.3092857143,0,,,
918,1,,,,,,1054.8021428572,,,,,
919,1,,,1,,,254.0117857143,,,0,,
920,1,,,,,,111.8703571429,,,,,
921,2,,,,,,2691.9957142857,,,,,
922,1,,,,,,1963.8014285714,,,,,
923,1,,,,,,96.0892857143,,,,,
924,1,,,1,1,,341.5514285714,,,0,460.0892857143,
925,1,,,,,,527.9432142857,,,,,
926,1,,,1,,,2860.8021428572,,,0,,
927,1,1,1,,,,1897.8360714286,3104.5839285714,3904.8517857143,,,
928,1,,26,,,,10594.5225,,69777.2053571429,,,
929,1,,,,,,291.1532142857,,,,,
930,1,2,,,,,849.1971428571,4113.7703571429,,,,
931,1,,,,,,10349.92,,,,,
932,1,1,7,,,,3060.9460714286,7537.4032142857,2116.0714285714,,,
933,1,,,1,,,1624.8632142857,,,0,,
934,1,,,1,1,1,1613.8460714286,,,0,708.2582142857,3261.6978571429
935,1,,,1,,,2430.9746428572,,,0,,
936,1,,,,,,1973.2807142857,,,,,
937,1,,,,,,361.5896428571,,,,,
938,1,1,2,,,,7.5767857143,52743.0907142857,0,,,
939,1,,,,,,2181.3021428572,,,,,
940,1,,,,,,0,,,,,
941,1,,,,,,4466.4221428572,,,,,
942,1,2,3,,,,2841.4142857143,27797.9796428571,0,,,
943,1,,,,1,,446.3989285714,,,,1.1785714286,
944,1,,,,,,764.6896428571,,,,,
945,1,,,,,,411.0082142857,,,,,
946,1,1,1,,1,,9830.7053571429,1796.0335714286,1131.9078571429,,2.3571428571,
947,1,,,,,,1313.1657142857,,,,,
948,1,,,,,3,2574.7775,,,,,13012.3857142857
949,1,1,,1,1,,693.7617857143,516.1596428571,,0,523.8107142857,
950,1,,,,,,41.4603571429,,,,,
951,2,1,,1,1,,338.365,93895.6878571429,,0,30.345,
952,1,,,,,1,72.4042857143,,,,,1447.7096428572
953,1,1,,,,,1507.6957142857,1508.5532142857,,,,
954,1,1,,,,,32.5592857143,1460.8,,,,
955,1,,,,,,3131.2239285714,,,,,
956,2,,,1,,,3611.3978571429,,,0,,
957,1,2,,1,,,125.8064285714,5069.3157142857,,664.3207142857,,
958,1,,,,1,,648.5142857143,,,,511.9364285714,
959,1,,,,,,186.0989285714,,,,,
960,1,,,,,,515.3353571429,,,,,
961,1,,,,,,251.3360714286,,,,,
962,1,,,,,,1783.9614285714,,,,,
963,1,1,1,,,,10607.8228571429,87931.5989285714,4991.4135714286,,,
964,1,,,1,,,2445.9664285714,,,345.0017857143,,
965,4,,,1,1,,319.0475,,,0,1.1785714286,
966,1,,,,,,476.2132142857,,,,,
967,1,,,,,,886.8014285714,,,,,
968,1,,,1,,,158.0389285714,,,0,,
969,1,,,,,,10820.7085714286,,,,,
970,1,1,10,,,,30.5764285714,12347.8471428571,0,,,
971,1,,,,,,28.5714285714,,,,,
972,1,1,,,,,2780.9453571429,3422.0921428572,,,,
973,1,,,,,,1633.8282142857,,,,,
974,1,,,,,,6298.2614285714,,,,,
975,2,,,,,,85.0453571429,,,,,
976,1,1,3,,,,16.8821428571,1866.0357142857,9412.8392857143,,,
977,1,,,,,,2639.3085714286,,,,,
978,1,1,3,,,,139.8389285714,37869.0853571429,0,,,
979,1,1,,,,,18896.3128571429,1025.0135714286,,,,
980,1,,,,,,97.6285714286,,,,,
981,1,,,,,,2754.4928571429,,,,,
982,1,,,,,,1813.5207142857,,,,,
983,1,1,2,,,,462.2217857143,1053.04,0,,,
984,1,,,,,,1049.0246428572,,,,,
985,1,,,1,,,58.1,,,164.6753571429,,
986,1,,,1,1,,469.3117857143,,,0,247.37,
987,1,,,,,,21.125,,,,,
988,1,,,,,,705.8725,,,,,
989,3,,,,,,778.1028571429,,,,,
990,1,1,,,,,181.4857142857,22492.7382142857,,,,
991,1,,,,,,37.6589285714,,,,,
992,1,,,,,,1795.1217857143,,,,,
993,1,1,3,,,,2.045,5401.1671428572,0,,,
994,1,,,,,2,2314.6135714286,,,,,515.4564285714
995,1,,,,,,292.9007142857,,,,,
996,1,,,,,,5689.6753571429,,,,,
997,1,2,,,,,273.6860714286,9222.9185714286,,,,
998,1,,,1,1,,2435.4757142857,,,0,242.6239285714,
999,1,,,,,,26.3039285714,,,,,
1000,1,,,,,,55934.0203571429,,,,,
1001,1,,,1,,,714.4475,,,529.8546428571,,
1002,1,,,1,1,,115.0228571429,,,0,0,
1003,1,,,,,,3465.5371428572,,,,,
1004,1,,,,,,2107.8367857143,,,,,
1005,1,,,1,1,1,16.2289285714,,,0,2.3571428571,983.1507142857
1006,1,,,,,,0,,,,,
1007,1,1,4,,,,46.1489285714,0.0007142857,0,,,
1008,1,2,4,,,,201.5717857143,5440.2971428572,0,,,
1009,1,1,,,,,73.9671428571,0.3785714286,,,,
1010,1,,,,,,4700.1442857143,,,,,
1011,1,,,,,,358.8446428571,,,,,
1012,1,,,,,,2.7375,,,,,
1013,1,,,,,,443.1457142857,,,,,
1014,1,,,,,,10020.6103571429,,,,,
1015,1,1,,,,,794.4564285714,1951.5953571429,,,,
1016,1,,,1,,1,947.1507142857,,,0,,384.9125
1017,1,,,,,,903.6382142857,,,,,
1018,1,,,,,1,1400.9367857143,,,,,1278.5925
1019,1,,,,,,337.4732142857,,,,,
1020,1,,,,,,240.9632142857,,,,,
1021,1,,,,,,2537.3210714286,,,,,
1022,1,,,,1,,375.5846428571,,,,1055.2010714286,
1023,1,,,,,,2916.7925,,,,,
1024,1,,,,,,193.04,,,,,
1025,1,,,1,,2,5558.4753571429,,,707.3932142857,,10121.4707142857
1026,1,,,,,,389.0253571429,,,,,
1027,1,,,,,,5265.1167857143,,,,,
1028,1,,,,,,307.8357142857,,,,,
1029,1,,,1,,,2.9142857143,,,924.8914285714,,
1030,2,1,,,,,8055.4203571429,37569.4667857143,,,,
1031,1,,,,,1,173.2639285714,,,,,2529.5685714286
1032,1,,,,,,1114.8675,,,,,
1033,1,1,3,,,,193.5725,10743.7414285714,0,,,
1034,1,,,,,,158.7689285714,,,,,
1035,3,1,1,,,,104.6017857143,4644.8207142857,15094.395,,,
1036,1,1,,,,,819.3517857143,32160.1657142857,,,,
1037,1,,,1,1,,3203.4564285714,,,0,0.7142857143,
1038,1,,,,,,27.0357142857,,,,,
1039,1,,,1,,,2.1089285714,,,0,,
1040,1,1,4,,,,3135.4296428572,15743.1203571429,3678.5714285714,,,
1041,1,,1,1,1,,22.2910714286,,178571.428571429,0,30.9285714286,
1042,1,,,1,,,13648.4596428571,,,0,,
1043,1,,,1,,1,658.5878571429,,,0,,5781.3475
1044,1,2,1,,,,84.1442857143,69302.3928571429,45697.5721428571,,,
1045,1,,,1,,,469.4325,,,0,,
1046,1,,,,,,5942.16,,,,,
1047,1,1,2,,,,10.6389285714,3286.0982142857,8152.3864285714,,,
1048,1,,,1,,,1911.4914285714,,,0,,
1049,1,,,,,,329.0610714286,,,,,
1050,1,,5,,,,113.8096428571,,2880.8671428572,,,
1051,1,,,1,1,1,0,,,0,156.4192857143,310.2007142857
1052,1,,,,,,1.2785714286,,,,,
1053,1,,,,,,107.1428571429,,,,,
1054,1,,,,,,1098.0239285714,,,,,
1055,1,,,,,,838.6396428571,,,,,
1056,1,,,,,,283.605,,,,,
1057,1,1,4,,,,1484.7503571429,232.5767857143,1213.9285714286,,,
1058,1,1,1,,,,431.3464285714,6657.7203571429,4239.0603571429,,,
1059,1,1,4,,,,819.1517857143,1816.0475,210.3571428571,,,
1060,1,,,,,,633.7039285714,,,,,
1061,1,,,,,,2279.7428571429,,,,,
1062,1,1,,,,,7.6275,18634.06,,,,
1063,1,,,1,,1,291.1475,,,0,,4116.3114285714
1064,1,,1,,1,,23.8564285714,,52133.855,,0,
1065,1,,,1,,1,1450.235,,,0,,360.3546428571
1066,2,,3,,,1,40.1910714286,,0,,,3708.2539285714
1067,1,,,,,1,3813.8689285714,,,,,4128.4
1068,1,,,,1,,3002.5039285714,,,,1020.8460714286,
1069,1,,,,,,12137.7760714286,,,,,
1070,2,,,1,,,176.8125,,,0,,
